Сайт,Упоминания,Уникальные запросы,Суммарная частота,Средняя частота,Brand запросы,Category запросы,Comparative запросы,Advisory запросы,Diapers запросы,Shampoos запросы,Упоминания в P&G запросах,Упоминания в конкурентных запросах,Упоминания в marketplace запросах,% от всех упоминаний,% от всех запросов,% от всей частоты,% brand запросов,% category запросов,% comparative запросов,% advisory запросов,% diapers запросов,% shampoos запросов
baby.ru,8,7,426000,53250.0,0,0,5,3,7,1,3,6,5,0.83,5.83,1.83,0.0,0.0,16.67,10.0,11.67,1.67
medaboutme.ru,7,7,417000,59571.43,0,0,2,5,5,2,3,6,3,0.73,5.83,1.79,0.0,0.0,6.67,16.67,8.33,3.33
5 источников,4,4,417000,104250.0,0,2,0,2,3,1,2,3,3,0.42,3.33,1.79,0.0,6.67,0.0,6.67,5.0,1.67
rigla.ru,5,5,415000,83000.0,1,0,0,4,3,2,0,2,2,0.52,4.17,1.78,3.33,0.0,0.0,13.33,5.0,3.33
marieclaire.ru,4,4,403000,100750.0,0,1,0,3,0,4,0,2,1,0.42,3.33,1.73,0.0,3.33,0.0,10.0,0.0,6.67
style-hair-magazine.com,7,7,375000,53571.43,0,0,7,0,0,7,5,5,3,0.73,5.83,1.61,0.0,0.0,23.33,0.0,0.0,11.67
boobl-goom.ru,3,3,369000,123000.0,1,0,0,2,2,1,0,1,1,0.31,2.5,1.58,3.33,0.0,0.0,6.67,3.33,1.67
loreal-paris.ru,1,1,350000,350000.0,1,0,0,0,0,1,0,1,1,0.1,0.83,1.5,3.33,0.0,0.0,0.0,0.0,1.67
reviews.yandex.ru,8,7,344000,43000.0,0,0,7,1,3,5,1,6,6,0.83,5.83,1.47,0.0,0.0,23.33,3.33,5.0,8.33
dtf.ru,5,5,326000,65200.0,0,0,2,3,2,3,3,5,4,0.52,4.17,1.4,0.0,0.0,6.67,10.0,3.33,5.0
bolshoyvopros.ru,6,6,320000,53333.33,0,0,5,1,5,1,5,4,4,0.62,5.0,1.37,0.0,0.0,16.67,3.33,8.33,1.67
k-zd.ru,4,4,319000,79750.0,0,0,0,4,0,4,0,2,1,0.42,3.33,1.37,0.0,0.0,0.0,13.33,0.0,6.67
pantene.com,1,1,320000,320000.0,1,0,0,0,0,1,0,1,1,0.1,0.83,1.37,3.33,0.0,0.0,0.0,0.0,1.67
dove.com,1,1,310000,310000.0,1,0,0,0,0,1,1,1,1,0.1,0.83,1.33,3.33,0.0,0.0,0.0,0.0,1.67
дав.сайт,1,1,310000,310000.0,1,0,0,0,0,1,1,1,1,0.1,0.83,1.33,3.33,0.0,0.0,0.0,0.0,1.67
pikabu.ru,3,3,294000,98000.0,0,0,1,2,3,0,2,3,2,0.31,2.5,1.26,0.0,0.0,3.33,6.67,5.0,0.0
apteka-april.ru,3,3,289000,96333.33,1,0,2,0,1,2,3,3,3,0.31,2.5,1.24,3.33,0.0,6.67,0.0,1.67,3.33
biotinal.ru,1,1,290000,290000.0,0,1,0,0,0,1,0,0,0,0.1,0.83,1.24,0.0,3.33,0.0,0.0,0.0,1.67
kabrita.ru,4,4,282000,70500.0,0,0,0,4,3,1,0,1,1,0.42,3.33,1.21,0.0,0.0,0.0,13.33,5.0,1.67
style.rbc.ru,5,5,281000,56200.0,0,0,2,3,0,5,0,0,3,0.52,4.17,1.2,0.0,0.0,6.67,10.0,0.0,8.33
kudri-brovi.ru,4,4,281000,70250.0,0,0,0,4,0,4,0,4,2,0.42,3.33,1.2,0.0,0.0,0.0,13.33,0.0,6.67
herbalessences.com,1,1,280000,280000.0,1,0,0,0,0,1,1,0,1,0.1,0.83,1.2,3.33,0.0,0.0,0.0,0.0,1.67
hairmaniac.ru,4,4,274000,68500.0,0,0,3,1,0,4,1,1,1,0.42,3.33,1.17,0.0,0.0,10.0,3.33,0.0,6.67
aif.ru,3,3,271000,90333.33,0,0,0,3,0,3,0,0,1,0.31,2.5,1.16,0.0,0.0,0.0,10.0,0.0,5.0
pharmacosmetica.ru,2,2,262000,131000.0,1,0,0,1,0,2,0,2,2,0.21,1.67,1.12,3.33,0.0,0.0,3.33,0.0,3.33
shopozz.ru,1,1,260000,260000.0,1,0,0,0,0,1,0,0,0,0.1,0.83,1.11,3.33,0.0,0.0,0.0,0.0,1.67
usmall.ru,1,1,260000,260000.0,1,0,0,0,0,1,0,0,0,0.1,0.83,1.11,3.33,0.0,0.0,0.0,0.0,1.67
ihc-russia.ru,4,4,255000,63750.0,0,0,0,4,0,4,0,1,3,0.42,3.33,1.09,0.0,0.0,0.0,13.33,0.0,6.67
agora-market.ru,1,1,240000,240000.0,1,0,0,0,0,1,0,1,1,0.1,0.83,1.03,3.33,0.0,0.0,0.0,0.0,1.67
onlinetrade.ru,4,4,236000,59000.0,1,0,3,0,4,0,1,4,4,0.42,3.33,1.01,3.33,0.0,10.0,0.0,6.67,0.0
dino-rhino.ru,3,3,235000,78333.33,0,0,1,2,2,1,0,0,0,0.31,2.5,1.01,0.0,0.0,3.33,6.67,3.33,1.67
garnier.ru,2,2,229000,114500.0,1,0,0,1,0,2,0,0,1,0.21,1.67,0.98,3.33,0.0,0.0,3.33,0.0,3.33
gloryes.ru,3,3,226000,75333.33,0,0,0,3,2,1,0,0,1,0.31,2.5,0.97,0.0,0.0,0.0,10.0,3.33,1.67
meitanglobal.com,2,2,217000,108500.0,0,0,0,2,0,2,0,0,0,0.21,1.67,0.93,0.0,0.0,0.0,6.67,0.0,3.33
tashe.ru,2,2,217000,108500.0,0,0,0,2,0,2,0,0,0,0.21,1.67,0.93,0.0,0.0,0.0,6.67,0.0,3.33
namaj.ru,1,1,210000,210000.0,0,1,0,0,0,1,0,0,1,0.1,0.83,0.9,0.0,3.33,0.0,0.0,0.0,1.67
foamstore.ru,2,2,199000,99500.0,0,0,0,2,0,2,0,0,1,0.21,1.67,0.85,0.0,0.0,0.0,6.67,0.0,3.33
blog.gkhair.ru,2,2,188000,94000.0,0,0,1,1,0,2,0,0,0,0.21,1.67,0.81,0.0,0.0,3.33,3.33,0.0,3.33
nappyclub.ru,1,1,190000,190000.0,1,0,0,0,1,0,1,1,1,0.1,0.83,0.81,3.33,0.0,0.0,0.0,1.67,0.0
skinsignal.ru,3,3,182000,60666.67,0,0,3,0,0,3,2,2,0,0.31,2.5,0.78,0.0,0.0,10.0,0.0,0.0,5.0
coral-yug.ru,2,2,182000,91000.0,2,0,0,0,2,0,0,2,2,0.21,1.67,0.78,6.67,0.0,0.0,0.0,3.33,0.0
championat.com,3,2,173000,57666.67,0,0,0,3,0,3,0,0,3,0.31,1.67,0.74,0.0,0.0,0.0,10.0,0.0,5.0
366.ru,1,1,170000,170000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.73,3.33,0.0,0.0,0.0,1.67,0.0
pharmeconom.ru,1,1,170000,170000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.73,3.33,0.0,0.0,0.0,1.67,0.0
zdorov.ru,1,1,170000,170000.0,1,0,0,0,1,0,0,1,1,0.1,0.83,0.73,3.33,0.0,0.0,0.0,1.67,0.0
kleona.com,1,1,165000,165000.0,0,1,0,0,0,1,0,0,0,0.1,0.83,0.71,0.0,3.33,0.0,0.0,0.0,1.67
ru.siberianhealth.com,1,1,165000,165000.0,0,1,0,0,0,1,0,0,0,0.1,0.83,0.71,0.0,3.33,0.0,0.0,0.0,1.67
syoss.ru,1,1,165000,165000.0,1,0,0,0,0,1,0,0,0,0.1,0.83,0.71,3.33,0.0,0.0,0.0,0.0,1.67
media.halvacard.ru,3,3,162000,54000.0,0,0,0,3,0,3,0,1,2,0.31,2.5,0.69,0.0,0.0,0.0,10.0,0.0,5.0
profcosm.com,3,3,162000,54000.0,0,0,2,1,0,3,0,0,1,0.31,2.5,0.69,0.0,0.0,6.67,3.33,0.0,5.0
kidsmax.ru,1,1,160000,160000.0,0,1,0,0,1,0,0,1,1,0.1,0.83,0.69,0.0,3.33,0.0,0.0,1.67,0.0
fantasyclinic.ru,2,2,159000,79500.0,0,0,0,2,1,1,0,0,0,0.21,1.67,0.68,0.0,0.0,0.0,6.67,1.67,1.67
laroche-posay.ru,2,2,159000,79500.0,0,0,0,2,1,1,0,0,0,0.21,1.67,0.68,0.0,0.0,0.0,6.67,1.67,1.67
nutriclub.ru,2,2,159000,79500.0,0,0,0,2,1,1,0,0,0,0.21,1.67,0.68,0.0,0.0,0.0,6.67,1.67,1.67
smdoctor.ru,2,2,159000,79500.0,0,0,0,2,1,1,0,0,0,0.21,1.67,0.68,0.0,0.0,0.0,6.67,1.67,1.67
wikihow.com,3,2,155000,51666.67,0,0,0,3,3,0,0,3,0,0.31,1.67,0.66,0.0,0.0,0.0,10.0,5.0,0.0
comfer.ru,2,2,154000,77000.0,0,0,0,2,2,0,0,1,1,0.21,1.67,0.66,0.0,0.0,0.0,6.67,3.33,0.0
momlovesbest.com,3,2,151000,50333.33,0,0,2,1,3,0,2,3,2,0.31,1.67,0.65,0.0,0.0,6.67,3.33,5.0,0.0
ssl-team.com,2,2,145000,72500.0,0,0,2,0,0,2,2,2,0,0.21,1.67,0.62,0.0,0.0,6.67,0.0,0.0,3.33
hairfood.ru,1,1,145000,145000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.62,0.0,0.0,0.0,3.33,0.0,1.67
forum.baby.ru,3,3,143000,47666.67,0,0,3,0,3,0,1,2,2,0.31,2.5,0.61,0.0,0.0,10.0,0.0,5.0,0.0
pinkiss.ru,2,2,143000,71500.0,0,0,0,2,2,0,0,0,1,0.21,1.67,0.61,0.0,0.0,0.0,6.67,3.33,0.0
t-j.ru,2,2,141000,70500.0,0,0,1,1,1,1,1,2,1,0.21,1.67,0.6,0.0,0.0,3.33,3.33,1.67,1.67
malyish.ru,2,2,130000,65000.0,0,1,1,0,2,0,1,2,2,0.21,1.67,0.56,0.0,3.33,3.33,0.0,3.33,0.0
